site	size	surv	TSF
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	7.965545573	1	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	7.817625443	1	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	6.652863029	0	two
siteH	NA	NA	two
siteH	7.872836175	1	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	7.689371108	1	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	7.856706793	1	two
siteH	7.783224016	1	two
siteH	5.940171253	1	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteG	5.192956851	1	three
siteG	4.86753445	0	three
siteG	5.204006687	0	three
siteG	5.940171253	0	three
siteG	5.416100402	0	three
siteG	6.445719819	1	three
siteG	6.514712691	0	three
siteG	6.068425588	1	three
siteG	NA	NA	three
siteG	5.966146739	0	three
siteG	NA	NA	three
siteG	5.877735782	1	three
siteG	6.240275845	1	three
siteG	6.345636361	0	three
siteG	5.924255797	0	three
siteG	5.780743516	0	three
siteG	5.272999559	0	three
siteG	5.863631176	1	three
siteD	5.703782475	0	two
siteD	5.934894196	0	two
siteD	6.12249281	1	two
siteD	5.743003188	1	two
siteD	5.730099783	1	two
